,text,expert_label,cluster
12,"Железо в жилах . Большая часть клеток крови – это красные кровяные тельца. А красные они потому, белковое вещество гемоглобин, в котором много железа. Ты ведь помнишь, какого цвета ржавчина? Так вот это есть железо, только оно окислялось,  то есть захватило кислород. В нашем теле происходит это там, где кислород достать легко, в наших легких. Продолжая свое путешествие по кровеносным сосудам, гемоглобин разносит кислород по всем клеткам. А оттуда он забирает накопившую окись углерода Потом кровь опять несет красное кровяное тельце к легким, и там происходит уже обратный обмен: окись углерода уходит из нашего организма выдохом, а на ее место гемоглобин забирает новую порцию кислорода и снова все по кругу. Вот почему нужно, чтобы в нашей пище было железо. Только гвозди для этого грызть необязательно: немало соединений железа ты найдешь в помидорах и в яблоках, и в гречневой каше. Наешься - и больше станет у тебя красных кровяных телец и гемоглобина, а от этого быстрее и лучше будут питаться и очищаться клетки твоего организма/ Куликов. А.Н., «Скажи мне, почему…?»,1995 г -  стр. 166 ",1,0
13,"Журавль. Радостно слышать весною крики журавлей в небе. Прилет журавлей обещает близкое тепло. Любит этих птиц наш народ. Много сказок и песен сложил он о журавлях.  Журавль очень высок на ногах. У него большие крылья и длинные перья. Клюв журавля крепкий и острый.  Гнездо журавль вьет прямо в ямке на поле. На сухую траву журавлиха кладет два крупных яйца. Молодых журавлят родители уводят в кусты или в камыши.  Раненый журавль бросается на спину и бьет собаку ногами и клювом. Один охотник потерял глаз, когда хотел схватить раненого журавля.  Теперь охота на журавлей в нашей стране запрещена.  (По С. Аксакову.) (95 слов.) ",2,1
14,"Антарктида. Антарктида лежит на крайнем юге. Огромная шапка льда толщиной более километра покрывает Антарктиду. Только кое-где среди льдов выступают черные и коричневые сопки, покрытые редкими пятнами мхов.  Беден животный мир Антарктиды. Лучше всех смогли приспособиться к суровому климату пингвины. Они населяют берега антарктических морей. В прибрежных водах плавают киты, кашалоты, дельфины.  Много тайн хранит Антарктида. Уже сейчас ученые нанесли на карту огромные горные цепи. В Антарктиде много ценных минералов. Но все это скрыто подо льдом.  Ученые всего мира исследуют этот край. (80 слов.)  (Из журнала «Мурзилка».) ",2,2
15,"Леопард. Леопард дождь не любит, никогда не купается и не плавает. В воду его только силой можно загнать. А сам просто так ни за что в неё не полезет. Красивый наряд у леопарда! Шерсть жёлтая и вся в чёрных пятнах. В листве деревьев его и не заметно, хоть он и не зелёный, потому что сливается его пестрота с игрой света и тени в полумраке тропического леса. Леопарды живут в Африке и в Азии. Леопард — мастер подкрадываться. Ползёт, прячась за каждым камнем, за каждым кустом, и так бесшумно, что подбирается совсем близко. Потом прыжок — и добыча в когтях. У нас леопарды водятся на Кавказе, в Средней Азии и на Амуре. Кроме обычного, есть ещё дымчатый леопард, тоже очень красивый, но маленький. Живёт он в лесах Юго-Восточной Азии. Дымчатый леопард почти не спускается на землю. Обезьян, белок и прочей добычи вполне хватает для него и в вершинах деревьев. Пантерами нередко называют чёрных или очень крупных пятнистых леопардов. Но иногда и всяких: кому как нравится. Охотники говорят: тигр «джентльмен», а пантера «невежа». Потому что тигр, когда нападает, всегда рычит, будто предупреждает. А пантера кидается молча и сзади. Пантера меньше льва и тигра и не такая, конечно, сильная. И всё-таки сила у неё немалая. Большую корову она без труда волочит по земле. А теперь подумайте: какая же сила у льва и тигра! И. Акимушкин В мире животных",2,1
16,"ЗАРЯНКА. Когда в лесу появляются проталины, песня зарянки заглушает все птичьи голоса. Песня её напоминает скрип несмазанного колеса, поднимающейся в гору телеги, а заканчивается мелодичным перезвоном серебристого колокольчика. Перышки на горле зарянки красные. Но не за красное пятно прозвали зарянку зарянкой, а за песни на утренних и вечерних зорях. Усядется зарянка на вершину старой высокой ели и поёт, ненадолго умолкая ночью, да в середине дня. Но особенно хорошо поёт зарянка после восхода солнца, да когда зайдёт солнце за край земли и небо станет красным, как пятнышко на горле зарянки. Гнездо зарянка вьёт между корнями трухлявых пеньков, под поваленными деревьями, под кучами валежника или в ямке на земле, под раскидистой листвой папоротника. Зарянка откладывает пять—семь светло-розовых яичек, покрытых рыжевато-бурыми крапинками. Птенцов выкармливают оба родителя гусеницами, жуками, паучками. Зарянки только успевают летать по лесу в поисках корма. Как птенцы подрастут, они быстро бегают в траве, а как услыша! крик ястреба или ворона, затаиваются. Птенцы очень любопытные, и если идти по осеннему лесу тихо и не делать резких движений, то можно увидеть птенца зарянки. Он внимательно наблюдает за человеком и долго бежит за ним, прячась в кустах. Хорошо встать затемно, чтобы на утренней заре услышать песню зарянки, увидеть, как цапля пролетает над рекой и ночной туман поднимается над водой и тает в голубом небе. Тамбиев А.Х. Кто в лесной норе живет",2,1
17,"ЯКУТСК. На склонах Байкальских гор берёт начало небольшой горный поток. Постепенно он становиться всё шире, пока не превращается в широкую и могучую реку Лену, которая получила своё имя от якутского слова «Елюне», что означает «великая река». В 1632 году на берегу Лены выросла деревянная крепость — Ленский острог, которая через 50 лет превратилась в город. В Якутске сохранились деревянные стены и одна из башен первого острога — одной из самых больших и мощных крепостей Сибири, а также много других деревянных сооружений времён первопроходцев. В Якутии вечная мерзлота подступает так близко к поверхности, что невозможно пахать землю. В 1827 году служащий Русско-американской компании Фёдор Шергин решил попробовать прорубить слой вечной мерзлоты насквозь. Работа длилась 10 лет, а вечная мерзлота всё не кончалась. Но труд Шергина не пропал даром: позже рядом с его шахтой вырос Институт мерзлотоведения. А сама шахта стала одной из достопримечательностей города. Фёдор Шергин так и не узнал, что ему удалось преодолеть лишь чуть более половины расстояния до воды. Возле Института мерзлотоведения установлено изваяние — мамонт с высоко поднятыми бивнями. До сих пор в вечной мерзлоте на территории Якутии находят останки этих древних животных. В Якутии, в Оймяконе расположен полюс холода всего северного полушария нашей планеты. Здесь зафиксирована температура минус 67,8 С. В 1930-х годах именно в этом «полюсе холода» были найдены месторождения алмазов. Якутские алмазы в основном прозрачные и бесцветные. Каждый из них уникален. В зависимости от формы, размеров и цвета алмазы разделяют на 6,5 тысячи категорий. Для измерения веса алмазов существует специальная единица — карат. В одном карате 0,2 грамма. Самый крупный из якутских алмазов, «Звезда Якутии», весит 232 карата. Он выставлен в Алмазном фонде Московского Кремля. Феоктистов Л.А. Города России. – М., 2007.- с.86-87",2,0
18,"Снежный дом. Ровная снежная гладь. Небо и земля, покрытая снегом, одинакового серебристо-серого цвета. Даль скрылась в искрящейся снежной пыли. Скоро, через неделю-другую, низкое солнце исчезнет, словно растает в снежном полумраке. Наступит многомесячная полярная ночь. Торопится человек, пока не исчезли последние отблески дневного света. Он скатал снежный ком. Обтесал его с четырёх сторон, и получился большой снежный кирпич. Один. Другой. Третий... Много уже таких кирпичей лежит на ровной, расчищенной от снега площадке.'	 И вот человек начинает складывать из этих снежных кирпичей дом. Есть такая старая пословица: «Дом без углов не стоит». Так вот, этот снежный дом строится без углов - он круглый. Издали он очень похож на яйцо гигантской птицы, наполовину врытое в землю. Оглядел человек свой дом снаружи, взял в руку плошку с тюленьим жиром да с плавающим в нём фитильком, пригнулся и вошёл внутрь дома. Поставил он этот свой светильник на снежный пол и стал ждать. Потрескивает тюлений жир, бледный огонёк то выше взметнётся, то почти совсем исчезнет. Но вот разгорелся светильник. Ровно горит язычок пламени на фитильке. Воздух в круглом снежном домике постепенно нагревается. Снег на стенах подтаивает. Оплывают снежные кирпичи. На глазах крепко срастаются, сплавляются. Теперь стоит только на время убрать светильник, и стены внутри дома покроются, схватятся накрепко ледяной корочкой. Дом готов. Издревле на Крайнем Севере, где деревьев почти нет, а снега вдоволь, строили эскимосы такие вот снежные жилища. Назывались они иглу. Яхин Л.Л. Какие бывают дома? – М., 2016. – с.7-9",2,1
19,"Человеки всех цветов. Честно говоря, ученые точно не знают, как произошли человеческие расы. Что такое расы? Ты же знаешь, что люди, населяющие наш земной шар, очень разные. Они отличаются друг от друга не только цветом кожи, но и строением черепа, разрезом глаз, формой лица и телосложением. Сейчас принято считать, что основных рас всего три. Европеидная раса – люди с белой кожей населяюляющие в основном Россию, Америку, Европейские страны. Негроидная раса — коренные жители африканского континента. Монголоидная раса желтокожих, проживающая в Монголии, Китае, Индии, Японии и многих странах Востока, причем она является самой многочисленной расой в мире. Итак, будем считать, что человеческая раса — это то, что отличает одну группу земного населения  от другой некоторыми внешними признаками, унаследованными этими людьми от своих далеких предков. Конечно, человеческие расы давно перемешались. В Америке проживает немало краснокожих индейцев, которые задолго до белой расы населяли эти земли, и которых раньше выделяли в особую расу «краснокожих *. В Москве можно встретить на улице афроамериканца, а в Китае проживают не только люди с желтым оттенком лица. Но в древности, разные расы появились на разных континентах, дав начало основным видам человека. Около 500000 лет назад предки современного человека проживали в Западной Азии небольшими группами — племенами. В разных племенах постепенно появлялись признаки различий. Процесс этот происходил весьма продолжительно — около 200000 лет. Позже, когда появилась необходимость в новых местах проживания, древние племена двинулись на юго-восток в сторону Индонезии и даже еще дальше на север в Китай. Поиски лучших земель заставляли человека осваивать все новые, не обитаемые ранее пространства. Еще позже, человек расселился по всей поверхности Земли. Некоторые племена развивались изолированно. Другие смешивались, давая совместное потомство. Но основные расовые признаки человечества, устойчиво сохраняются, независимо от постоянной смены поколений. Куликов. А.Н. «Скажи мне, почему…?».- М.,1995. - С. 186-187",2,0
20,"Увидев деревья, внимательно осмотрись: вдруг ты заметишь что-нибудь интересное. Обязательно посмотри вверх и вниз. В земле. Сжимаясь и вытягиваясь, червячки ползают в земле под травяным покровом. Они делают туннели, благодаря которым корням растений проще впитывать. Спрятанные цвета. Мотыльки и бабочки, когда не летают, прячутся на деревьях, камнях и растениях. Они складывают свои крылышки так, чтобы яркий окрас крыльев был спрятан внутри. Это делает бабочек незаметными для хищников, которые хотят их съесть. Паутина. Пауки плетут паутину, используя клейкие шёлковые нити, которые производит их организм. Пауки сидят рядом с паутиной и ждут, когда какое-нибудь насекомое завязнет в ней. Затем они закутывают жертву в кокон и едят её. В вышине. На ветках деревьев и в дуплах птицы строят гнёзда. Для их создания они используют веточки, траву, мох. Все птицы вылупляются из яиц. Живущие на деревьях птицы питаются улитками, гусеницами, червячками и другими насекомыми, а также фруктами. Жужжание. Пчёлы строят дом для своей королевы, чтобы в нём могли разместиться все её детки. Пчёлы работают очень дружно: они содержат это место в чистоте, защищают его и делают столько мёда, чтобы накормить всех пчёл. Уютные норки. Дупла, старые птичьи гнёзда или удобные ветки могут стать беличьим домиком. Белки выстилают свои норки мхом, сухой травой и перьями. Зимой они спят рядом, свернувшись калачиком, чтобы сохранить тепло. Браун, Кэррон.  Что скрывает яблоня?: Пер.  с англ. / Кэррон Браун, Алиса Нэсснер. – Ростов н/Д: Феникс, 2015. - 35 с.: ил.",2,1
21,"Медвежья спячка. Всем известно, что зимой медведи спят в берлогах. Засыпают они задолго до первого снега. Но чтобы спокойно выспаться, медведю нужно хорошо подготовиться. Прежде всего — найти подходящее место, например упавшее дерево с вывороченными корнями или яму. Это место надо утеплить, выстлав травой и мхом. Если берлога неглубокая, мишка укрывает её ветками и молодыми ёлочками. Зимой начнутся метели и занесут такой дом снегом. Пройдёшь и не заметишь даже, что рядом под сугробом спит медведь. Уютно и тепло ему в берлоге. Однажды любопытные учёные решили узнать, как именно под снегом мишка спит и что делает. Для этого они выбрали нескольких животных и поместили на огороженную территорию с искусственными берлогами. На каждом медведе были прикреплены специальные датчики, которые передавали информацию о состоянии зверей. В ходе эксперимента выяснилось, что медведи любят спать, свернувшись клубком. Ворочаются они крайне редко — один раз в несколько дней. А дышат невероятно медленно — всего два вздоха в минуту! Однако рассказы о том, что во сне мишка сосёт свою лапу, не подтвердились. Ничего подобного учёные не увидели. Во время зимней спячки медведь действительно иногда засовывает лапу в рот, но вовсе не потому, что у него там запас жира, помогающий пережить голодный период. А, вероятнее всего, потому, что у него зимой облезают подошвы лап. Они зудят, вот мишка их и чешет зубами. Даже в зоопарках, где животным нет нужды заботиться о пропитании и для всех устроены тёплые вольеры, мишки всё равно спят — так уж они привыкли. Но, впрочем, не все. У белых медведей только самки хорошенько отъедаются и засыпают — им нужны силы, чтобы родить, а потом и выкормить детёнышей. А самцы не спят: они всегда бодры и полны сил. Ведь там, откуда они родом, холодно зимой и летом, так что им безразлично, когда нырять за рыбой. Белые медведи — самые лучшие пловцы среди хищников. Охотясь под водой, они могут надолго задерживать дыхание. И настолько хорошо чувствуют себя в воде, что заплывают очень далеко. Некоторые люди видели медведей в двадцати километрах от кромки льда. Да и скорость плывущего белого медведя впечатляет — семь километров в час! Лапшина Д. Самый русский зверь",2,1
22,"Медвежата. Медвежата рождаются зимой, пока их мама сладко спит в тёплой берлоге. Удивительно, но медведица даже не просыпается, когда на свет появляются её дети! Уж насколько огромны медведи во взрослом возрасте, а рождаются они совсем крошками — всего пятьсот граммов весом! Рождаются медвежата слепыми, беззубыми и, как почти все детёныши в животном мире, — совершенно беспомощными. Зато уже через три месяца, как раз к весне, весят по восемь килограммов — вот как быстро растут на мамином молоке. Медведица почти никогда не бывает одна. Родив потомство и немного подрастив его, она бродит по лесу в поисках пищи. А за ней, весело играя друг с дружкой, бегут медвежата — будущие грозные хозяева русского леса. Наблюдать за детёнышами интересно. По своим повадкам они очень похожи на любых малышей — так же увлечённо играют и в шутку дерутся между собой, залезают на деревья, с которых не всегда умеют слезть самостоятельно. Зовут маму, когда страшно, и прячутся за её мохнатым тёплым боком от любой опасности. Мать учит их добывать еду: показывает съедобные растения с корешками и ягодами, водит на речные отмели ловить рыбу. И вот медвежата подросли: теперь им уже год, они выглядят уже почти как взрослые, однако по-прежнему ходят за матерью. Такой взрослый медвежонок называется «пестун», и он помогает медведице растить своих младших братьев и сестёр. Но однажды наступает день, когда медвежонок-подросток должен покинуть мать и отправиться во взрослую жизнь. Когда придёт пора, медведица отведёт своих выросших детей куда-нибудь в малинник и, пока они там лакомятся, тихонечко уйдёт. Но беспокоиться за медвежат не нужно: наученные мамой, они в лесу не пропадут и очень скоро станут сильными и грозными зверями. Лапшина Д. Самый русский зверь",2,1
23,"Некоторые птицы глотают мелкие камешки, чтобы помочь пищеварению. Когда мышцы их мускульного желудка сокращаются, камни тоже приходят в движение и перетирают пищу — вместо зубов, которых у птиц нет. Крокодилы, морские львы и морские котики тоже заглатывают камни. Благодаря им животные могут глубже нырять и удерживать равновесие в воде. Чтобы достать моллюска из раковины, морские выдры переворачиваются на спину, кладут на живот плоский камень и начинают бить по нему ракушкой. Чайки разбивают раковины моллюсков о скалы, сбрасывая их с высоты. Шимпанзе и вороны разбивают камнями твёрдую скорлупу орехов. Астон,  Диана. У камня своя история: Пер. с англ. -  СПб: Изд-во Манн, Иванов и Фербер, 2015.",1,1
24,"Зачем нужны путешествия. Кто-то, быть может, спросит: а зачем вообще нужны путешествия? Для чего всё это нужно — ходить вокруг света под парусом, подниматься на горные вершины, пересекать пустыни, шагать к полюсу? А всё дело в том, что цели у путешествий очень разные. Бывают научные экспедиции, когда во время путешествия нужно выполнять научные задания: проводить различные эксперименты, собирать пробы воды, снега, грунта. Вот, например, экспедиция Георгия Седова, в которой участвовал мой дедушка, была научной: они составляли карту Новой Земли. А бывают путешествия спортивные, когда устанавливается новый мировой рекорд или проводятся гонки — кто быстрее, как в тот раз, когда мы переплывали с молодым французом океан. Цели у путешествий могут быть разнообразные, но это всегда очень интересно. Ведь каждое путешествие — увлекательное приключение, полное неожиданностей и испытаний, это встречи с новыми людьми и приобретение новых знаний. И есть одно непременное условие: настоящий путешественник должен очень любить своё дело. Любить море и горы, пустыни и снега, любить китов и белых медведей, любить свежий ветер и россыпи звёзд на ночном небе. Всю нашу прекрасную Землю путешественник должен бережно и с любовью хранить в своём сердце. Иначе никакой ты не путешественник. Конюхов Ф. Как я стал путешественником",2,0
25,"ТИГР. На солнечной поляне полосатого тигра заметить нетрудно. Но в зарослях полосы скрывают тигра, как шапка-невидимка. Даже опытный охотник не заметит его и в трёх шагах. Тигр не рычит так громко, как лев. Зато голос у него более приятный для слуха, мелодичный: «Уу-уу-унг». Его далеко слышно. Тигр очень хитёр. В Индии говорят: тигр после слона самый умный зверь в джунглях. Рассказывают также местные жители, будто, подражая криком оленю, тигр приманивает его. А когда гоняет обезьян, рычит страшно. Они, пугаясь, прыгают с дерева на дерево и часто от страха падают на землю. Тут он их и хватает. Но обычно тигр охотится на диких свиней и оленей. Голодный ест и черепах, змей, ящериц, мышей, даже саранчу и кедровые орехи. И за лягушками забавно шлёпает по болоту. Прыгает на них, как кошка на мышь. Сколько поймает, столько и съест. Для голодного и это всё-таки добыча... Тигр очень чистоплотный зверь. Добычу, прежде чем съесть, потрошит, сдирает зубами шерсть и даже кролика или утку может начисто ощипать, не повредив кожи. А когда поест, полощет зубы и рот в воде. Тигр воду любит. Нередко в жару лежит в ручье и прохлаждается. Из всех кошек только тигры и ягуары переплывают большие реки. И, бывает, подплыв незаметно, кидаются на людей в лодках. (Впрочем, рысь бобкэт тоже к воде неравнодушна: любит купаться, но широкую реку переплыть ей не по силам). Тигры водятся только в Южной Азии. У нас — в Закавказье, Средней Азии и на Амуре — встречаются редко. И. Акимушкни В мире животных",2,1
26,"ЧТО ТАКОЕ УСАДЬБА?. Усадьбы бывают городские и загородные. Это что-то вроде большого частного дома в городе или за городом, но не в посёлке, а в некотором отдалении от других владений. Особняком. В древние времена наши предки называли такие дома в сельской местности УСАД или УСАДИЩЕ. Какое слово однокоренное? Правильно, это слово САД. Значит, УСАДЬБА – это место, в котором есть сад, огород, постройки для коров, коз и курочек, гусей и лошадей, главный дом для хозяев, дома для гостей и слуг, а также много всяких домиков для технических целей: гараж для карет и повозок, склад для собранного урожая и сарай для хранения лопат и тяпок. А ещё поляна для балов на свежем воздухе и парк для неспешных прогулок. Иногда справа и слева от главного дома на одинаковом расстоянии строились уже не такие большие строения, второстепенные. Получалось, что главный дом – это голова и тело, а дома по бокам – как крылья. Это сравнение с птицей придумали уже очень давно. Поэтому второстепенные дома-усадьбы называют ФЛИГЕЛЯМИ, ведь однажды все вокруг договорились, что будут называть такие дома по-немецки, а ФЛИГЕЛЬ – это «крыло» на немецком языке. Жданов О. Архитектурные хитрости или Как удивить бабушку. – Санкт-Петербург: Издательство «Антология», 2017. – 40 с. [С.6-7]",2,0
